filepath,object_raw,object_normalized,date_token
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.048.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.049.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.050.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.051.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.052.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.053.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.054.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.055.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.056.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.057.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.058.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.059.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.086.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.087.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.088.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.089.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.090.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.091.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.123.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.124.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.125.fits.gz,HII 1883,HII 1883,
